Músicas,Álbuns,Artistas,Data de Lançamento,ISRC,Rank,Track Score,Explicit Track
Mele Kalikimaka,"Essential Classics, Vol. 166: Bing Crosby",Bing Crosby,6/5/2024,ES31E2401197,237,101.3,0
MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),Lil Nas X,3/26/2021,USSM12100531,238,100.8,1
Voz Emplumada del Monte,Voz Emplumada - EP,Biomigrant,3/3/2023,QZ5FN2369288,239,100.3,0
Is It Over Now? (Taylor's Version) (From The Vault),1989 (Taylor's Version),Taylor Swift,10/26/2023,USUG12306691,240,100.2,0
Si No Estï¿½,Si No Estï¿½ï¿½s - Si,iï¿½ï¿½igo quin,9/22/2022,TCAGM2208561,241,100.1,0
Glimpse of Us,Glimpse of Us,Joji,6/10/2022,USWB12201789,242,99.8,0
Watermelon Sugar,Watermelon Sugar,Harry Styles,11/17/2019,USSM11912587,243,99.7,0
Corazï¿½ï¿½n de Pi,Corazï¿½ï¿½n de Piedra - Si,Xavi,3/23/2024,USA2P2414894,244,98.8,0
Praise Jah In The Moonlight,Praise Jah In the Moonlight - Single,YG Marley,12/27/2023,CH7811111177,245,98.5,1
WHERE SHE GOES,WHERE SHE GOES,Bad Bunny,5/18/2023,QM6P42334528,246,98.4,1
Yandel 150,Yandel 150,Yandel,12/20/2022,QMFMF2215173,247,98.1,1
THATS WHAT I WANT,MONTERO,Lil Nas X,9/17/2021,USSM12105732,248,98.0,1
Todo De Ti,Todo De Ti,Rauw Alejandro,5/20/2021,USSD12100202,249,98.0,1
Chemical,Chemical,Post Malone,4/14/2023,USUM72305205,250,97.6,1
See You Again (feat. Charlie Puth),See You Again (feat. Charlie Puth),Wiz Khalifa,1/1/2015,USAT21703595,251,97.6,0
Drip Too Hard (Lil Baby & Gunna),Drip Too Hard,Lil Baby,9/12/2018,USUG11801811,252,97.5,1
Shooting Star,Kep1going On,Kep1er,6/3/2024,KRA492400678,253,97.3,0
Uptown Funk,Full Circle: The Live Anthology,Mark Ronson,11/20/2011,GBARL1401524,254,97.1,1
Dog's Plan,Thoughts Feelings,David Jackson,3/2/2023,USZXT2350766,255,97.0,0
love nwantiti (ah ah ah),CKay The First,CKay,8/30/2019,QMEU31910213,256,96.9,1
Mi Gente,Mi Gente,J Balvin,6/30/2017,FR22F1701790,257,96.4,0
Late Night Talking,Harry's House,Harry Styles,5/20/2022,USSM12200610,258,96.4,0
Miss You,Miss You,Oliver Tree,8/5/2022,USAT22211992,261,96.2,1
girls like me don't cry,Girls Like Me Don't Cry,thï¿½ï,10/6/2022,QZLBC2200766,260,96.2,0
Yummy Fruits and Vegetables,Yummy Fruits and Vegetables,D Billions,10/20/2020,AEA0D2036458,259,96.2,0
Dakiti,Dakiti,Bad Bunny,1/1/2020,QMFME2004132,262,96.1,1
Starboy,Starboy,The Weeknd,9/22/2016,USUG11600976,265,95.7,1
Sorry,Sorry,Justin Bieber,10/23/2015,USUM71516760,264,95.7,0
Calling My Phone,Calling My Phone,Lil Tjay,2/12/2021,USSM12100388,263,95.7,1
Pink Venom,Pink Venom,BLACKPINK,8/19/2022,KRA402200017,266,95.6,0
I Can Do It With a Broken Heart,THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,USUG12401040,267,95.0,1
death bed (coffee for your head),"Some Boring, Love Stories, Pt. 2",Powfu,2/9/2019,USSM12000925,268,94.8,0
Too Many Nights (feat. Don Toliver & with Future),HEROES & VILLAINS,Metro Boomin,12/2/2022,USUG12208784,269,94.5,1
